id,address,sq ft,pets,lease,avail,rent $,parking,Location,Unit Type,Lease Type,Rent,Available,Bedroom(s),Bathroom(s),Square Footage,Resident Utilities,Laundry Location,School District,Parking Details,Pets Allowed,Restrictions,Amenities,Link
9280_343,1119 Emerald St #2,788,C*,Standard,9/1/24,$1695,Free,Downtown,Flat,Standard,"$1,695 /mo",9/1/2024,2,1.0,788 Sq Ft,Landlord Pays All (Tenants are responsible for trash/recycling to curb according to local ordinances),On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Parking Included; One half of small lot behind house (no more than 1 large or 2 small vehicles/apartment),CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 550 credit score requirement applies for applications.,"['Hardwood floors', 'Electricity Included', 'Heat included', 'Deck', 'Additional Storage', 'Laminate Flooring']",https://www.madisonproperty.com/unit?id=9280_343
1980_343,508 Farley Ave #6,709,No,Standard,8/1/24,$1210,$,Downtown,Apartment,Standard,"$1,210 /mo",8/1/2024,1,1.0,709 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $0.50, Dryer: $0.50)","Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Surface Lot,No Pets,No Smoking Allowed. A 550 credit score requirement applies for applications.,"['Carpeted', 'Dishwasher', 'Air Conditioning', 'Storage space', 'Microwave', '']",https://www.madisonproperty.com/unit?id=1980_343
12941_382,225 S Fifth Street #2,950,C+D*,Short Term w/ Renewal,Now,$1575,Free,Suburb,Apartment,Short Term w/ Renewal Option,"$1,575 /mo",Now,2 + Den,1.0,950 Sq Ft,"Unit Electricity (Stove, A/C). Unit Gas (Heat, Hot Water).",In Unit,"Elem: Kegonsa, Mid: River Bluff, High: Stoughton",Parking Included; Shared Driveway,"Dogs & CatsPet Restrictions: No agressive breeds, owner requires proof of rabies vaccinations and a photo of the animal prior to approval. 2 pet max",No Smoking Allowed. A 550 credit score requirement applies for applications.,"['Carpeted', 'Dishwasher', 'Microwave', 'Central Air', 'Private Entrance', '']",https://www.madisonproperty.com/unit?id=12941_382
17041_325,101 N Franklin St,985,C+D,Campus,8/16/24,$1750,Street,Campus,House,Campus,"$1,750 /mo",8/16/2024,3,1.0,985 Sq Ft,"Unit Electricity . Unit Gas (Heat, Stove). Water and Sewer.","Nearby (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Bus route nearby', 'Microwave', 'Private Entrance', 'Laminate Flooring']",https://www.madisonproperty.com/unit?id=17041_325
17041_382,101 N Franklin St,985,C+D,Short Term w/ Renewal,Now,$1750,Street,Campus,House,Short Term w/ Renewal Option,"$1,750 /mo",Now,3,1.0,985 Sq Ft,"Unit Electricity . Unit Gas (Heat, Stove). Water and Sewer.","Nearby (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Bus route nearby', 'Microwave', 'Private Entrance', 'Laminate Flooring']",https://www.madisonproperty.com/unit?id=17041_382
17073_325,103 N Franklin St #1,1345,C+D,Campus,8/16/24,$2560,Street,Campus,Apartment,Campus,"$2,560 /mo",8/16/2024,4,2.0,1345 Sq Ft,"Unit Electricity . Unit Gas (Heat, Stove). $25 per person per month for Water and Sewer.","Nearby (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Carpeted', 'Hardwood floors', 'Dishwasher', 'Microwave', 'Porch', '']",https://www.madisonproperty.com/unit?id=17073_325
17077_325,109 N Franklin St,1080,C+D,Campus,8/16/24,$1760,Street,Campus,Apartment,Campus,"$1,760 /mo",8/16/2024,2,1.0,1080 Sq Ft,Unit Electricity . Unit Gas (Stove). $25 per person per month for Water and Sewer.,"On Site (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Hardwood floors', 'Heat included', 'Patio', 'Private Entrance', 'Balcony', '']",https://www.madisonproperty.com/unit?id=17077_325
16158_325,225 W Gilman St #2,1300,No,Campus,8/16/24,$3895,$,Campus,Apartment,Campus,"$3,895 /mo",8/16/2024,4,1.0,1300 Sq Ft,"Unit Electricity (Stove, A/C).",Laundromat,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability),No Pets,No Smoking Allowed.,"['Hardwood floors', 'Heat included', 'Balcony', 'Gas (Utility) Included']",https://www.madisonproperty.com/unit?id=16158_325
16159_325,225 W Gilman St #3,1010,No,Campus,8/16/24,$2250,$,Campus,Apartment,Campus,"$2,250 /mo",8/16/2024,3,1.0,1010 Sq Ft,"Unit Electricity (Stove, A/C).",Laundromat,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability),No Pets,No Smoking Allowed.,[],https://www.madisonproperty.com/unit?id=16159_325
16529_520,433 W Gilman St #2,1185,No*,Sublet,Now,$800,Street,Campus,Apartment,Sublet,$800 /mo,Now,3 + Den,1.0,1185 Sq Ft,Unit Electricity (A/C). $30 per person/per month Water and Sewer.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Carpeted', 'Heat included', 'Gas (Utility) Included', '']",https://www.madisonproperty.com/unit?id=16529_520
16537_325,433 W Gilman St #102,450,No*,Campus,8/16/24,$1350,Street,Campus,Apartment,Campus,"$1,350 /mo",8/16/2024,1,1.0,450 Sq Ft,Unit Electricity (A/C). $30 per person/per month Water and Sewer.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Carpeted', 'Heat included', 'Gas (Utility) Included', '']",https://www.madisonproperty.com/unit?id=16537_325
16552_326,433 W Gilman St #404,900,No*,Short Term,Now,$1725,Street,Campus,Apartment,Short Term,"$1,725 /mo",Now,3,1.0,900 Sq Ft,Unit Electricity (A/C). $30 per person/per month Water and Sewer.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Carpeted', 'Heat included', 'Gas (Utility) Included', '']",https://www.madisonproperty.com/unit?id=16552_326
17059_325,601 E Gorham St #1,1200,C+D,Campus,8/16/24,$2875,Street,Campus,Apartment,Campus,"$2,875 /mo",8/16/2024,3,2.0,1200 Sq Ft,$25 per person per month for Water and Sewer.,"Nearby (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Hardwood floors', 'Dishwasher', 'Bus route nearby', 'Microwave', 'Stainless appliances', '']",https://www.madisonproperty.com/unit?id=17059_325
17054_325,609 E Gorham St #101,565,C+D,Campus,8/16/24,$1565,Street,Campus,Apartment,Campus,"$1,565 /mo",8/16/2024,1,1.0,565 Sq Ft,Unit Electricity . $25 per person per month for Water and Sewer.,In Unit,"Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Bus route nearby', 'Microwave', 'Porch', 'Lake View']",https://www.madisonproperty.com/unit?id=17054_325
17058_325,609 E Gorham St #202,725,C+D,Campus,8/16/24,$1695,Street,Campus,Apartment,Campus,"$1,695 /mo",8/16/2024,1,1.0,725 Sq Ft,Unit Electricity . $25 per person per month for Water and Sewer.,In Unit,"Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Carpeted', 'Hardwood floors', 'Dishwasher', 'Bus route nearby', 'Microwave', 'Lake View']",https://www.madisonproperty.com/unit?id=17058_325
17053_325,609 E Gorham St #G101,710,C+D,Campus,8/16/24,$1645,Street,Campus,Apartment,Campus,"$1,645 /mo",8/16/2024,1 + Den,1.5,710 Sq Ft,Unit Electricity . $25 per person per month for Water and Sewer.,In Unit,"Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Carpeted', 'Hardwood floors', 'Dishwasher', 'Bus route nearby', 'Microwave', 'Lake View', 'Luxury Vinyl Plank', 'Luxury Vinyl Tile']",https://www.madisonproperty.com/unit?id=17053_325
17056_325,609 E Gorham St #G102,645,C+D,Campus,8/16/24,$1475,Street,Campus,Apartment,Campus,"$1,475 /mo",8/16/2024,1,1.0,645 Sq Ft,Unit Electricity . $25 per person per month for Water and Sewer.,In Unit,"Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Bus route nearby', 'Private Entrance', 'Laminate Flooring', '']",https://www.madisonproperty.com/unit?id=17056_325
17047_325,615 E Gorham St #1,0,C+D,Campus,8/16/24,$2345,Street,Campus,Apartment,Campus,"$2,345 /mo",8/16/2024,3,2.0,,Unit Electricity . $25 per person per month for Water and Sewer.,"Nearby (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Hardwood floors', 'Dishwasher', 'Microwave', 'Private Entrance', 'Lake View', 'Laminate Flooring']",https://www.madisonproperty.com/unit?id=17047_325
17050_325,615 E Gorham St #4,770,C+D,Campus,8/16/24,$1810,Street,Campus,Apartment,Campus,"$1,810 /mo",8/16/2024,1,1.0,770 Sq Ft,Unit Electricity . $25 per person per month for Water and Sewer.,"Nearby (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Hardwood floors', 'Dishwasher', 'Bus route nearby', 'Microwave', 'Lake View', 'Laminate Flooring']",https://www.madisonproperty.com/unit?id=17050_325
17051_325,615 E Gorham St #5,800,C+D,Campus,8/16/24,$1915,Street,Campus,Apartment,Campus,"$1,915 /mo",8/16/2024,2,1.0,800 Sq Ft,Unit Electricity . $25 per person per month for Water and Sewer.,"Nearby (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Hardwood floors', 'Dishwasher', 'Bus route nearby', 'Microwave', 'Laminate Flooring', '']",https://www.madisonproperty.com/unit?id=17051_325
3021_327,409 W Gorham St #606,912,No,Sublet,Now,$800,$,Campus,Apartment,Sublet,$800 /mo,Now,3,1.0,912 Sq Ft,Landlord Pays All (including Internet & Cable),"Each Floor (Washer: $1.85, Dryer: $1.85)","Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Furnished', 'Electricity Included', 'Bus route nearby', 'Breakfast bar', 'Microwave', 'Underground garage', 'Heat included', 'Building has an elevator', 'Property has on-site vending machines', 'Central Air', 'On-site management office', 'Cable and Internet Included', 'Balcony', 'Landlord Pays All Utilities']",https://www.madisonproperty.com/unit?id=3021_327
3082_327,409 W Gorham St #701,749,No,Sublet,Now,$2095,$,Campus,Apartment,Sublet,"$2,095 /mo",Now,2,1.0,749 Sq Ft,Landlord Pays All (including Internet & Cable),"Each Floor (Washer: $1.85, Dryer: $1.85)","Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Furnished', 'Electricity Included', 'Bus route nearby', 'Breakfast bar', 'Microwave', 'Underground garage', 'Heat included', 'Building has an elevator', 'Property has on-site vending machines', 'Central Air', 'On-site management office', 'Cable and Internet Included', 'Balcony', '']",https://www.madisonproperty.com/unit?id=3082_327
3287_326,409 W Gorham St #1005,953,No,Short Term,Now,$2710,$,Campus,Apartment,Short Term,"$2,710 /mo",Now,3,1.0,953 Sq Ft,Landlord Pays All (including Internet & Cable),"Each Floor (Washer: $1.85, Dryer: $1.85)","Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Furnished', 'Electricity Included', 'Bus route nearby', 'Breakfast bar', 'Microwave', 'Underground garage', 'Heat included', 'Building has an elevator', 'Property has on-site vending machines', 'Central Air', 'On-site management office', 'Cable and Internet Included', 'Gas (Utility) Included', 'Landlord Pays All Utilities']",https://www.madisonproperty.com/unit?id=3287_326
2889_326,420 W Gorham St #503,1240,No,Short Term,Now,$2400,$,Campus,Apartment,Short Term,"$2,400 /mo",Now,4,2.0,1240 Sq Ft,Landlord Pays All (including Internet & Cable),"Each Floor (Washer: $1.85, Dryer: $1.85)","Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Hardwood floors', 'Dishwasher', 'Furnished', 'Electricity Included', 'Breakfast bar', 'Microwave', 'Underground garage', 'Heat included', 'Building has an elevator', 'Central Air', 'On-site management office', 'Cable and Internet Included', 'Balcony', 'Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=2889_326
11267_343,15 N Hancock St #L-2,336,C*,Standard,8/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,8/1/2024,Studio,1.0,336 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', 'Luxury Vinyl Tile']",https://www.madisonproperty.com/unit?id=11267_343
11268_343,15 N Hancock St #L-3,334,C*,Standard,8/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,8/1/2024,Studio,1.0,334 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', '']",https://www.madisonproperty.com/unit?id=11268_343
11238_343,15 N Hancock St #101,336,C*,Standard,8/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,8/1/2024,Studio,1.0,336 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', '']",https://www.madisonproperty.com/unit?id=11238_343
11242_343,15 N Hancock St #105,334,C*,Standard,8/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,8/1/2024,Studio,1.0,334 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', '']",https://www.madisonproperty.com/unit?id=11242_343
11251_343,15 N Hancock St #206,334,C*,Standard,8/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,8/1/2024,Studio,1.0,334 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', 'Luxury Vinyl Tile']",https://www.madisonproperty.com/unit?id=11251_343
11252_343,15 N Hancock St #207,336,C*,Standard,8/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,8/1/2024,Studio,1.0,336 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', '']",https://www.madisonproperty.com/unit?id=11252_343
11255_343,15 N Hancock St #210,280,C*,Standard,8/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,8/1/2024,Studio,1.0,280 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', '']",https://www.madisonproperty.com/unit?id=11255_343
11256_343,15 N Hancock St #301,334,C*,Standard,7/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,7/1/2024,Studio,1.0,334 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', '']",https://www.madisonproperty.com/unit?id=11256_343
11263_343,15 N Hancock St #308,334,C*,Standard,8/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,8/1/2024,Studio,1.0,334 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', '']",https://www.madisonproperty.com/unit?id=11263_343
7664_343,330 Island Dr #4,820,C*,Standard,9/1/24,$1395,Free,West,Apartment,Standard,"$1,395 /mo",9/1/2024,2,1.0,820 Sq Ft,"Unit Electricity (Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.50)","Elem: Stephens, Mid: Jefferson, High: Memorial","Parking Included & Additional Paid Parking (Subject To Availability); Surface lot parking available first-come, first-served. Covered parking for $25/month-subject to availability.","CatsPet Restrictions: Max 2 cats, no rabbits, fish tanks no larger than 3 gallons. No dogs",No Smoking Allowed. A 600 credit score requirement applies for applications.,"['Carpeted', 'Dishwasher', 'Air Conditioning', 'Storage space', 'Bus route nearby', 'Heat included', 'Balcony', '']",https://www.madisonproperty.com/unit?id=7664_343
